date,p_bull
2004-01-02,0.9980687499046326
2004-01-05,0.9977241158485413
2004-01-06,0.9975246787071228
2004-01-07,0.9974220991134644
2004-01-08,0.997389018535614
2004-01-09,0.9974714517593384
2004-01-12,0.9982954859733582
2004-01-13,0.9972947239875793
2004-01-14,0.9981414079666138
2004-01-15,0.9983223080635071
2004-01-16,0.998233437538147
2004-01-20,0.9980687499046326
2004-01-21,0.9972984194755554
2004-01-22,0.9984028935432434
2004-01-23,0.997519314289093
2004-01-26,0.9979040622711182
2004-01-27,0.9972299933433533
2004-01-28,0.9967537522315979
2004-01-29,0.9965108036994934
2004-01-30,0.9957330822944641
2004-02-02,0.995886504650116
2004-02-03,0.9958012700080872
2004-02-04,0.9966644644737244
2004-02-05,0.9956531524658203
2004-02-06,0.9961397051811218
2004-02-09,0.9961044788360596
2004-02-10,0.9960278272628784
2004-02-11,0.997190535068512
2004-02-12,0.9970177412033081
2004-02-13,0.9962664246559143
2004-02-17,0.9970888495445251
2004-02-18,0.9970471262931824
2004-02-19,0.9957855343818665
2004-02-20,0.9962389469146729
2004-02-23,0.9946810603141785
2004-02-24,0.9957650899887085
2004-02-25,0.9956041574478149
2004-02-26,0.9949652552604675
2004-02-27,0.9949652552604675
2004-03-01,0.996959924697876
2004-03-02,0.996694803237915
2004-03-03,0.9965408444404602
2004-03-04,0.9963893890380859
2004-03-05,0.9959765076637268
2004-03-08,0.9950331449508667
2004-03-09,0.9923344254493713
2004-03-10,0.938376247882843
2004-03-11,0.8303725123405457
2004-03-12,0.9378742575645447
2004-03-15,0.8639047741889954
2004-03-16,0.9339625835418701
2004-03-17,0.9281176924705505
2004-03-18,0.9178730845451355
2004-03-19,0.9278447031974792
2004-03-22,0.8140866160392761
2004-03-23,0.8144352436065674
2004-03-24,0.7738354206085205
2004-03-25,0.8186428546905518
2004-03-26,0.7910236716270447
2004-03-29,0.9673232436180115
2004-03-30,0.9560486674308777
2004-03-31,0.9660662412643433
2004-04-01,0.980946958065033
2004-04-02,0.9839592576026917
2004-04-05,0.9958415627479553
2004-04-06,0.993057370185852
2004-04-07,0.9920306205749512
2004-04-08,0.9862050414085388
2004-04-12,0.9893465638160706
2004-04-13,0.9795814752578735
2004-04-14,0.9794260859489441
2004-04-15,0.9632931351661682
2004-04-16,0.9820136427879333
2004-04-19,0.9826498031616211
2004-04-20,0.954062283039093
2004-04-21,0.9124151468276978
2004-04-22,0.9899131059646606
2004-04-23,0.9896302819252014
2004-04-26,0.9879546165466309
2004-04-27,0.9859062433242798
2004-04-28,0.9456335306167603
2004-04-29,0.951958954334259
2004-04-30,0.8000801801681519
2004-05-03,0.9255308508872986
2004-05-04,0.917858898639679
2004-05-05,0.8565223813056946
2004-05-06,0.9308099150657654
2004-05-07,0.7252798676490784
2004-05-10,0.7291915416717529
2004-05-11,0.6879724860191345
2004-05-12,0.6654448509216309
2004-05-13,0.6371951699256897
2004-05-14,0.5882126092910767
2004-05-17,0.7716581225395203
2004-05-18,0.5948290228843689
2004-05-19,0.6587333083152771
2004-05-20,0.558659553527832
2004-05-21,0.44831761717796326
2004-05-24,0.37694382667541504
2004-05-25,0.7433000206947327
2004-05-26,0.8860329389572144
2004-05-27,0.9597892761230469
2004-05-28,0.9510501027107239
2004-06-01,0.9302435517311096
2004-06-02,0.9758523106575012
2004-06-03,0.9203264117240906
2004-06-04,0.9717555642127991
2004-06-07,0.9948061108589172
2004-06-08,0.99434894323349
2004-06-09,0.990198016166687
2004-06-10,0.9879176020622253
2004-06-14,0.9827842712402344
2004-06-15,0.9895267486572266
2004-06-16,0.9870566129684448
2004-06-17,0.9837263226509094
2004-06-18,0.98725825548172
2004-06-21,0.9810181856155396
2004-06-22,0.9851662516593933
2004-06-23,0.991565465927124
2004-06-24,0.9909237027168274
